src,dest,batch
73160508,73160519,0
73160552,73160561,0
73160623,73160630,0
73160647,73160654,0
73160674,73160683,0
73160722,73160730,0
73160753,73160761,0
73160784,73160791,0
73160831,73160840,0
73160849,73160857,0
73160868,73160877,0
73160913,73160922,0
73160973,73160981,0
73161003,73161009,0
73161029,73161039,0
73161069,73161075,0
73161099,73161107,0
73161126,73161135,0
73161177,73161185,0
73161205,73161212,0
73161226,73161236,0
73161242,73161247,0
73161267,73161276,0
73161304,73161314,0
73161335,73161342,0
73161355,73161364,0
73161388,73161396,0
73161416,73161427,0
73161449,73161457,0
73161462,73161468,0
73161485,73161491,0
73161504,73161514,0
73161528,73161534,0
73161546,73161553,0
73161564,73161573,0
73161591,73161600,0
73161606,73161614,0
73161616,73161626,0
73161691,73161701,0
73161715,73161724,0
73161739,73161749,0
73161779,73161788,0
73161829,73161839,0
73161872,73161879,0
73161899,73161906,0
73161920,73161930,0
73161947,73161956,0
73161979,73161986,0
73162000,73162007,0
73162089,73162096,0
73162116,73162124,0
73162143,73162150,0
73162158,73162164,0
73162175,73162182,0
73162202,73162208,0
73162216,73162224,0
73162264,73162271,0
73162284,73162293,0
73162311,73162320,0
73162339,73162347,0
73162362,73162371,0
73162389,73162397,0
73162413,73162419,0
73162429,73162437,0
73162439,73162446,0
73162460,73162467,0
73162483,73162490,0
73162501,73162509,0
73162530,73162536,0
73162553,73162559,0
73162563,73162571,0
73162595,73162601,0
73162620,73162624,0
73162641,73162648,0
73162724,73162731,0
73162799,73162805,0
73162817,73162822,0
73162839,73162847,0
73162889,73162896,0
73162920,73162928,0
73162949,73162955,0
73162968,73162975,0
73162985,73162993,0
73163069,73163076,0
73163085,73163092,0
73163094,73163103,0
73163118,73163127,0
73163147,73163154,0
73163156,73163163,0
73163168,73163175,0
73163186,73163195,0
73163218,73163225,0
73163231,73163239,0
73163256,73163264,0
73163292,73163301,0
73163312,73163321,0
73163335,73163342,0
73163354,73163361,0
73163365,73163374,0
73163379,73163388,0
73163399,73163406,0
73163431,73163441,0
73163454,73163461,0
73163492,73163500,0
73163531,73163540,0
73163553,73163561,0
73163583,73163591,0
73163612,73163618,0
73163675,73163680,0
73163704,73163711,0
73163723,73163730,0
73163779,73163786,0
73163849,73163857,0
73163879,73163885,0
73163909,73163916,0
73163942,73163949,0
73163975,73163983,0
73164009,73164018,0
73164039,73164047,0
73164070,73164079,0
73164102,73164109,0
73164118,73164125,0
73164152,73164160,0